id     timestamp            canal    direccion  COALESCE(de,"")  cuerpo                                                                                                                                        
-----  -------------------  -------  ---------  ---------------  ----------------------------------------------------------------------------------------------------------------------------------------------
30577  2026-08-18 15:29:06  sistema  interno                     WA APAGADO por marker — cero intentos de conexión; loops en modo degradado                                                                    
30576  2026-08-18 15:29:06  sistema  interno                     Maria arrancó — WA, Gmail, recordatorios, programados, brief y meeting-prep activos (16 usuarios)                                             
30575  2026-08-18 15:29:05  sistema  interno                     MODO DEGRADADO: loops arrancados sin WA (caído hace 54783 min)                                                                                
30574  2026-08-18 15:29:02  sistema  interno                     shutdown por SIGINT                                                                                                                           
30573  2026-08-18 15:27:24  sistema  interno                     WA APAGADO por marker — cero intentos de conexión; loops en modo degradado                                                                    
30572  2026-08-18 15:27:24  sistema  interno                     Maria arrancó — WA, Gmail, recordatorios, programados, brief y meeting-prep activos (16 usuarios)                                             
30571  2026-08-18 15:27:24  sistema  interno                     MODO DEGRADADO: loops arrancados sin WA (caído hace 54781 min)                                                                                
30570  2026-08-18 15:27:22  sistema  interno                     shutdown por SIGINT                                                                                                                           
30569  2026-08-18 15:16:06  sistema  interno                     poda-eventos: 140 telemetría borrada (>60d), 0 archivados (>540d), 0 purgados del archivo (>1095d)                                            
30568  2026-08-18 15:11:06  sistema  interno                     WA APAGADO por marker — cero intentos de conexión; loops en modo degradado                                                                    
30567  2026-08-18 15:11:06  sistema  interno                     Maria arrancó — WA, Gmail, recordatorios, programados, brief y meeting-prep activos (16 usuarios)                                             
30566  2026-08-18 15:11:06  sistema  interno                     MODO DEGRADADO: loops arrancados sin WA (caído hace 54765 min)                                                                                
30565  2026-08-18 15:11:02  sistema  interno                     shutdown por SIGINT                                                                                                                           
30564  2026-08-18 15:10:57  sistema  interno                     claude_call memoria-curada: 20909ms prompt=5290c raw=12671c in=2t(cache_read=8775 new=8745) out=1608t ttfb=1651ms api=19832ms turnos=1 $0.0618
30563  2026-08-18 15:10:36  sistema  interno                     claude_call memoria-curada: 20650ms prompt=6441c raw=10710c in=2t(cache_read=8775 new=9366) out=1295t ttfb=1661ms api=19649ms turnos=1 $0.0599
30562  2026-08-18 15:10:15  sistema  interno                     claude_call memoria-curada: 19692ms prompt=4179c raw=11445c in=2t(cache_read=0 new=16935) out=1233t ttfb=1704ms api=19035ms turnos=1 $0.0838  
30561  2026-08-18 15:09:25  sistema  interno                     WA APAGADO por marker — cero intentos de conexión; loops en modo degradado                                                                    
30560  2026-08-18 15:09:25  sistema  interno                     Maria arrancó — WA, Gmail, recordatorios, programados, brief y meeting-prep activos (16 usuarios)                                             
30559  2026-08-18 15:09:25  sistema  interno                     MODO DEGRADADO: loops arrancados sin WA (caído hace 54763 min)                                                                                
30558  2026-08-18 15:09:23  sistema  interno                     shutdown por SIGINT                                                                                                                           
30557  2026-08-18 15:07:02  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30556  2026-08-18 15:06:52  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30555  2026-08-18 15:06:47  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30554  2026-08-18 15:06:42  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30553  2026-08-18 15:06:37  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30552  2026-08-18 15:06:32  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30551  2026-08-18 15:06:21  sistema  interno                     wa-outbox: entrega FALLIDA definitiva #176 a 541132317896 (timeout_sin_boton) — aviso al owner                                                
30550  2026-08-18 15:06:20  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30549  2026-08-18 15:06:15  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30548  2026-08-18 15:06:10  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30547  2026-08-18 15:06:05  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30546  2026-08-18 15:06:00  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30545  2026-08-18 15:05:50  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30544  2026-08-18 15:05:45  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30543  2026-08-18 15:05:40  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30542  2026-08-18 15:05:35  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30541  2026-08-18 15:05:30  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30540  2026-08-18 15:05:20  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30539  2026-08-18 15:05:15  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30538  2026-08-18 15:05:10  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30537  2026-08-18 15:05:05  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30536  2026-08-18 15:05:00  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30535  2026-08-18 15:04:50  sistema  interno                     wa-outbox: entrega FALLIDA definitiva #175 a 541132317896 (timeout_sin_boton) — aviso al owner                                                
30534  2026-08-18 15:04:50  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30533  2026-08-18 15:04:45  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30532  2026-08-18 15:04:40  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30531  2026-08-18 15:04:35  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30530  2026-08-18 15:04:30  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30529  2026-08-18 15:04:20  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30528  2026-08-18 15:04:15  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30527  2026-08-18 15:04:10  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30526  2026-08-18 15:04:05  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30525  2026-08-18 15:04:00  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30524  2026-08-18 15:03:43  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30523  2026-08-18 15:03:38  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30522  2026-08-18 15:03:33  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30521  2026-08-18 15:03:28  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30520  2026-08-18 15:03:23  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30519  2026-08-18 15:03:09  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30518  2026-08-18 15:03:04  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30517  2026-08-18 15:02:59  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30516  2026-08-18 15:02:54  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30515  2026-08-18 15:02:49  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30514  2026-08-18 15:02:39  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30513  2026-08-18 15:02:34  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30512  2026-08-18 15:02:29  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30511  2026-08-18 15:02:24  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30510  2026-08-18 15:02:19  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30509  2026-08-18 15:02:01  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30508  2026-08-18 15:01:56  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30507  2026-08-18 15:01:51  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30506  2026-08-18 15:01:46  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30505  2026-08-18 15:01:41  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30504  2026-08-18 15:01:31  sistema  interno                     wa-outbox: entrega FALLIDA definitiva #171 a 5491126829596 (timeout_sin_boton) — aviso al owner                                               
30503  2026-08-18 15:01:31  sistema  interno                     mbdiag: buscaba "Diego"/"5491132317896" vivos=[]                                                                                              
30502  2026-08-18 15:01:26  sistema  interno                     mbdiag: buscaba "Hernan Fulco"/"5491126829596" vivos=[]                                                                                       
