id   estado   creado               dueno    disparador       recordar_desde            desc                                                                                                                                                                                     COALESCE(meta_json,"")                                                                                 
---  -------  -------------------  -------  ---------------  ------------------------  ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  -------------------------------------------------------------------------------------------------------
5    abierto  2026-04-20 12:16:59  usuario  manual                                     iProt Seguridad                                                                                                                                                                          {"tipo":"tarea"}                                                                                       
37   abierto  2026-05-06 00:02:32  usuario  manual                                     DDJJ 2025                                                                                                                                                                                {"tipo":"tarea"}                                                                                       
189  abierto  2026-06-24 21:23:09  usuario  manual                                     Llamar a Poggetti                                                                                                                                                                                                                                                                               
227  abierto  2026-07-06 14:49:31  maria    trigger_externo                            Esperar que Paraná Muebles Logística (Caterina) avise que la biblioteca a medida está lista para coordinar la entrega (estiman lunes 13/07)                                              {"esperando_de":"5491140793225@c.us","esperando_canal":"whatsapp","vence_en_dias":10,"follow_up_id":31}
230  abierto  2026-07-08 16:35:55  maria    manual                                     Corregir título del evento "Títulos Banco Grédico" (jue 06/08 13:00-14:00) a "Títulos Banco Credicoop" apenas aparezca en la agenda de 7 días con su ID (por ahora está fuera de rango)  {"worker_intentos":3,"worker_ultimo":"2026-07-10T17:21:53.509Z","worker_pausado":1}                    
231  abierto  2026-07-22 16:07:19  usuario  manual           2026-08-03T13:00:00.000Z  Diplomaturas de Diego en 3 partes                                                                                                                                                                                                                                                               
232  abierto  2026-07-22 16:07:20  usuario  manual           2026-08-03T13:00:00.000Z  Llamar a Todorati por su mesa en las jornadas y por si alguien quiere sumarse con material                                                                                                                                                                                                      
233  abierto  2026-07-22 16:07:20  usuario  manual           2026-08-03T13:00:00.000Z  Chequear la perfo de Tosorarti con Eva                                                                                                                                                                                                                                                          
234  abierto  2026-07-22 16:07:21  usuario  manual           2026-08-03T13:00:00.000Z  Agregar la visita a Art Haus                                                                                                                                                                                                                                                                    
235  abierto  2026-07-22 16:07:22  usuario  manual           2026-08-03T13:00:00.000Z  Pedir los certificados de Ley Micaela                                                                                                                                                                                                                                                           
236  abierto  2026-07-22 16:07:22  usuario  manual           2026-08-03T13:00:00.000Z  Agregar al calendar las fechas posibles de colación y de revistas de arte, cuando estén                                                                                                                                                                                                         
