id    timestamp            canal     direccion  COALESCE(de,"")     cuerpo                                                                                                                                                                                      
----  -------------------  --------  ---------  ------------------  --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
2261  2026-05-07 10:56:08  sistema   interno                        morning-brief falló (Fernando Boero): listarEventosProximos: calendarId requerido                                                                                                           
2260  2026-05-07 10:56:08  sistema   interno                        morning-brief falló (Natali Funez): listarEventosProximos: calendarId requerido                                                                                                             
2259  2026-05-07 10:55:08  sistema   interno                        morning-brief falló (Fernando Boero): listarEventosProximos: calendarId requerido                                                                                                           
2258  2026-05-07 10:55:08  sistema   interno                        morning-brief falló (Natali Funez): listarEventosProximos: calendarId requerido                                                                                                             
2257  2026-05-07 10:54:08  sistema   interno                        morning-brief falló (Fernando Boero): listarEventosProximos: calendarId requerido                                                                                                           
2256  2026-05-07 10:54:08  sistema   interno                        morning-brief falló (Natali Funez): listarEventosProximos: calendarId requerido                                                                                                             
2255  2026-05-07 10:53:08  sistema   interno                        morning-brief falló (Fernando Boero): listarEventosProximos: calendarId requerido                                                                                                           
2254  2026-05-07 10:53:08  sistema   interno                        morning-brief falló (Natali Funez): listarEventosProximos: calendarId requerido                                                                                                             
2253  2026-05-07 10:52:08  sistema   interno                        morning-brief falló (Fernando Boero): listarEventosProximos: calendarId requerido                                                                                                           
2252  2026-05-07 10:52:08  sistema   interno                        morning-brief falló (Natali Funez): listarEventosProximos: calendarId requerido                                                                                                             
2251  2026-05-07 10:51:08  sistema   interno                        morning-brief falló (Fernando Boero): listarEventosProximos: calendarId requerido                                                                                                           
2250  2026-05-07 10:51:08  sistema   interno                        morning-brief falló (Natali Funez): listarEventosProximos: calendarId requerido                                                                                                             
2249  2026-05-07 10:50:08  sistema   interno                        morning-brief falló (Fernando Boero): listarEventosProximos: calendarId requerido                                                                                                           
2248  2026-05-07 10:50:08  sistema   interno                        morning-brief falló (Natali Funez): listarEventosProximos: calendarId requerido                                                                                                             
2247  2026-05-07 10:49:08  sistema   interno                        morning-brief falló (Fernando Boero): listarEventosProximos: calendarId requerido                                                                                                           
2246  2026-05-07 10:49:08  sistema   interno                        morning-brief falló (Natali Funez): listarEventosProximos: calendarId requerido                                                                                                             
2245  2026-05-07 10:48:08  sistema   interno                        morning-brief falló (Fernando Boero): listarEventosProximos: calendarId requerido                                                                                                           
2244  2026-05-07 10:48:08  sistema   interno                        morning-brief falló (Natali Funez): listarEventosProximos: calendarId requerido                                                                                                             
2243  2026-05-07 10:47:08  sistema   interno                        morning-brief falló (Fernando Boero): listarEventosProximos: calendarId requerido                                                                                                           
2242  2026-05-07 10:47:08  sistema   interno                        morning-brief falló (Natali Funez): listarEventosProximos: calendarId requerido                                                                                                             
2241  2026-05-07 10:46:46  whatsapp  saliente   52235459367058@lid  ¡Hola Fernando! Muy bien, gracias 😊 ¿Y vos? Quedó pendiente que me pases tu dirección de email y que compartas tu Google Calendar conmigo para poder ayudarte con tu agenda. ¿Pudiste verlo?
2240  2026-05-07 10:46:24  whatsapp  entrante   52235459367058@lid  Hola.Maria como estas                                                                                                                                                                       
2239  2026-05-07 10:46:08  sistema   interno                        morning-brief falló (Fernando Boero): listarEventosProximos: calendarId requerido                                                                                                           
2238  2026-05-07 10:46:08  sistema   interno                        morning-brief falló (Natali Funez): listarEventosProximos: calendarId requerido                                                                                                             
2237  2026-05-07 10:45:09  sistema   interno                        meeting-prep: 1 alerta(s) agendada(s) (4 usuarios)                                                                                                                                          
2236  2026-05-07 10:45:08  whatsapp  saliente   34342575317160@lid  ⏰ *En 15min*: Yoga (08:00 a. m.)                                                                                                                                                            
2235  2026-05-07 10:45:08  sistema   interno                        morning-brief falló (Fernando Boero): listarEventosProximos: calendarId requerido                                                                                                           
2234  2026-05-07 10:45:08  sistema   interno                        morning-brief falló (Natali Funez): listarEventosProximos: calendarId requerido                                                                                                             
2233  2026-05-07 10:44:08  sistema   interno                        morning-brief falló (Fernando Boero): listarEventosProximos: calendarId requerido                                                                                                           
2232  2026-05-07 10:44:08  sistema   interno                        morning-brief falló (Natali Funez): listarEventosProximos: calendarId requerido                                                                                                             
2231  2026-05-07 10:43:08  sistema   interno                        morning-brief falló (Fernando Boero): listarEventosProximos: calendarId requerido                                                                                                           
