id  estado   creado               desc                                                                                                                                                         COALESCE(meta_json,"")
--  -------  -------------------  -----------------------------------------------------------------------------------------------------------------------------------------------------------  ----------------------
2   abierto  2026-04-20 12:16:59  Pedir presupuesto DC Iplan                                                                                                                                   {"tipo":"tarea"}      
3   abierto  2026-04-20 12:16:59  Pedir presupuesto DC Telecentro                                                                                                                              {"tipo":"tarea"}      
4   abierto  2026-04-20 12:16:59  Pedir presupuesto DC Claro                                                                                                                                   {"tipo":"tarea"}      
5   abierto  2026-04-20 12:16:59  iProt Seguridad                                                                                                                                              {"tipo":"tarea"}      
6   abierto  2026-04-20 12:16:59  Espejo Subaru                                                                                                                                                {"tipo":"tarea"}      
20  abierto  2026-04-22 01:10:03  Doris IT Roch                                                                                                                                                {"tipo":"tarea"}      
33  abierto  2026-05-02 10:49:32  Pagar a Ani                                                                                                                                                  {"tipo":"tarea"}      
37  abierto  2026-05-06 00:02:32  DDJJ 2025                                                                                                                                                    {"tipo":"tarea"}      
45  abierto  2026-05-08 00:05:37  Revisar: ¿qué pasa cuando un usuario no tiene acceso a la agenda de otro usuario?                                                                            {"tipo":"tarea"}      
46  abierto  2026-05-08 20:53:00  Responderle a Daniel Salvucci sobre el día de la reunión — él dice que pensaba que era el miércoles 13/5, no el jueves 14/5. Esperar confirmación de Diego.  {"tipo":"consulta"}   
